Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2022-09-13,30,1440.745465773611,1898.6877160072327,21.0,20,,,,,,,,0.43465328383327806,2.027640475577245,0.282749586811576,3103,,,,,,990766,,,
2022-09-14,63,1574.4402482812395,2684.179597377777,14.0,14,,,,,,,,0.5522890997322375,1.4117386127753384,0.2827496036225435,4608,,,,,,3620334,,,
2022-09-15,,1390.3721923828125,4.842717170715332,,,,,,,,,,,,,60,,,,,,,,,
2022-09-16,4,1395.6038187496865,119.6237907409668,,,,,,,,,,0.5456258892972201,1.0729437059208438,0.28274962731875275,270,,,,,,102898,,,
2022-09-17,2,1390.3721923828125,67.2944107055664,,,,,,,,,,0.2832188988877611,0.49561723525510837,0.282749586811576,164,,,,,,,,,
2022-09-18,7,1405.166544232152,196.32339477539062,,,,,,,,,,0.635674184655516,0.8501904358081853,0.2827496073792593,523,,,,,,290982,,,
2022-09-19,33,1490.1126277217652,1641.1784395575523,11.0,11,,,,,,,,0.3782709445276013,1.4069630570131806,0.25447465578715006,2889,,,,,,1961742,,,
2022-09-20,,1390.3721923828125,,,,,,,,,,,,,,66,,,,,,,,,
2022-09-21,81,1569.646975672212,4084.863721549511,41.0,41,,,,,,,,0.6879335639770611,1.3891321856801104,0.25447465578715006,6797,,,,,,3526058,,,
2022-09-22,13,1534.7075825625823,80.3403787612915,10.0,10,,,,,,,,0.39534044200294793,0.9505421272673998,0.282749586811576,176,,,,,,97645,,679156,
2022-09-23,13,1573.1013685268656,85.3903865814209,11.0,11,,,,,,,,0.2791667240875577,0.328223501135952,0.2733246485392253,204,,,,,,,,806028,
2022-09-24,17,1672.6434858062576,88.6959662437439,14.0,14,,,,,,,,0.359371368630887,0.43599312697548953,0.2827496102862844,256,,,,,,116041,,989827,
2022-09-25,14,1552.2354310270227,58.83604192733765,12.0,12,,,,,,,,0.5741746968525971,0.8655997955835558,0.28274959812163836,149,,,,,,,,785269,
2022-09-26,3,1397.617958852518,89.3488826751709,,,,,,,,,,0.28590299315742773,0.42796135090565257,0.2827496049642517,288,,,,,,142513,,,
2022-09-27,12,1570.7223378907051,137.65470027923584,10.0,10,,,,,,,,0.32700813541778984,0.6260139036002634,0.25447465578715006,520,,,,,,120793,,751374,
2022-09-28,83,1558.5264057961028,3622.7561173439026,21.0,21,,,,,,,,0.6467352874413537,1.3569134932297926,0.282749586811576,6267,,,,,,3307336,,,
2022-09-29,16,1589.6716854406516,135.8404517173767,11.0,11,,,,,,,,0.46569133064378887,0.6197251878307017,0.2827495963530078,304,,,,,,88884,,802847,
2022-09-30,14,1570.2010438411871,3.3929953575134277,14.0,14,,,,,,,,,,,102,62.25,62.25,62.25,,,,,903372,
2022-10-01,104,1775.7051044779548,4646.043737053871,50.0,47,,,,,,,,0.9147400484238699,1.6998867384802485,0.25219519916140276,7606,63.20000076293945,63.20000076293945,63.20000076293945,,,4150173,,840864,
2022-10-02,1,1378.750009059906,37.32668972015381,,,,,,,,,,0.2733246202844547,0.2827495963530078,0.2638996442159017,78,,,,,,,,,
2022-10-03,,1388.2143602292956,59.377418994903564,,,,,,,,,,0.282643937606503,0.2827496078545696,0.25447465578715006,116,,,,,,190236,,,
2022-10-04,51,1476.7633130710203,2583.0610299110413,23.0,23,,,,,,,,0.8245866305021515,1.3015287313436739,0.28274961369254,4254,,,,,,1970095,,,
2022-10-05,2,1378.7500090599062,73.51490211486816,,,,,,,,,,0.2924467184442708,0.3277053316716322,0.2638996442159017,167,,,,,,,,,
2022-10-06,,1378.750009059906,,,,,,,,,,,,,,23,,,,,,,,,
2022-10-07,20,1433.5863041192172,1297.6925678253174,12.0,12,,,,,,,,0.38333818057534047,1.3398577101919615,0.25447465578715006,2114,,,,,,1102225,,,
2022-10-08,37,1487.8777176530639,2041.9436746835709,20.0,20,,,,,,,,0.6815153371534073,1.2918535868326824,0.25447465578715006,3439,,,,,,2193497,,,
2022-10-09,3,1390.5435673500203,89.34887766838074,,,,,,,,,,0.2693980740761963,0.6110502452336208,0.25447465578715006,219,,,,,,237053,,,
2022-10-10,6,1399.6156499506242,394.12356972694397,4.0,4,,,,,,,,0.9309729063643389,1.2749699410475765,0.28274959325790405,723,,,,,,419405,,,
2022-10-11,56,1500.7815368589231,2840.4809633493423,22.0,22,,,,,,,,0.5886212251590265,1.303806427961315,0.2622098412655483,4713,,,,,,2452866,,,
2022-10-12,79,1578.9491627586544,4300.518431544304,38.0,38,,,,,,,,0.7570565374859355,1.4932147351745875,0.25447465578715006,7008,,,,,,3927927,,,
2022-10-13,,1388.2500166893003,,,,,,,,,,,,,,45,,,,,,,,,
2022-10-14,3,1388.2500166893005,82.5628890991211,,,,,,,,,,0.28287279263523657,0.45655563010733,0.28274962731875275,182,,,,,,,,,
2022-10-15,55,1551.1764743557223,3094.4035499095917,29.0,29,,,,,,,,0.8400545241077811,1.466024355943909,0.2733246485392253,4909,,,,,,3217133,,,
2022-10-16,11,1411.0773283401072,480.32244205474854,2.0,2,,,,,,,,0.3805336890736626,1.2038572807052743,0.2733246485392253,853,,,,,,450746,,,
2022-10-17,82,1584.5981349084502,4172.533141076565,31.0,31,,,,,,,,0.49135317895570063,1.5253046141242101,0.26294137286839875,6959,,,,,,3877062,,,
2022-10-18,,1391.3038136709085,15.268479347229004,,,,,,,,,,0.25447465578715006,0.25447465578715006,0.25447465578715006,63,,,,,,60300,,,
2022-10-19,65,1569.234727812671,3068.794988632202,15.0,14,,,,,,,,0.7154939136075257,1.5792565364174862,0.27251757610282173,5235,,,,,,3179768,172583,,
2022-10-20,,1388.2500166893005,,,,,,,,,,,,,,40,,,,,,,,,
2022-10-21,4,1392.367122811289,149.85729608352327,,,,,,,,,,0.2920090917801445,0.3064675310869985,0.2827495931687082,396,,,,,,81296,,,
2022-10-22,,1388.2500166893005,,,,,,,,,,,,,,12,,,,,,,,,
2022-10-23,,1388.2500166893005,,,,,,,,,,,,,,24,,,,,,,,,
2022-10-24,,1388.2500166893005,,,,,,,,,,,,,,39,,,,,,,,,
2022-10-25,,1388.2500166893003,,,,,,,,,,,,,,10,,,,,,,,,
2022-10-26,5,1395.6309020871865,165.12577530712747,,,,,,,,,,0.3624812101378875,0.7651969867140046,0.26389964090180196,414,,,,,,145743,,,
